iter	Logloss
0	0.6428420326
1	0.6200503597
2	0.60125825
3	0.5736832966
4	0.556287123
5	0.547713035
6	0.5418339541
7	0.5357598607
8	0.5305743683
9	0.5261589077
10	0.5219600679
11	0.519578687
12	0.5165524256
13	0.5139891154
14	0.5118214861
15	0.5101164441
16	0.5087000852
17	0.507015139
18	0.5058122521
19	0.5047983636
20	0.5033709548
21	0.501697085
22	0.500511994
23	0.4994873662
24	0.4955851307
25	0.4948939287
26	0.4944793042
27	0.4937974952
28	0.4934593167
29	0.4931507769
30	0.4928450374
31	0.4921069408
32	0.4918882039
33	0.4916227832
34	0.4905558765
35	0.49012991
36	0.4897987659
37	0.489600066
38	0.4891065615
39	0.4888229936
40	0.488607008
41	0.4883075251
42	0.4878047674
43	0.4871559151
44	0.4869890948
45	0.486907045
46	0.4866995163
47	0.4865513377
48	0.4863460589
49	0.4861644162
50	0.485924288
51	0.4848073564
