iter	Passed	Remaining
0	162	81083
1	175	43788
2	188	31188
3	200	24834
4	212	21069
5	225	18547
6	238	16773
7	250	15401
8	263	14365
9	274	13459
10	288	12817
11	311	12651
12	323	12103
13	336	11680
14	350	11319
15	362	10978
16	376	10690
17	392	10504
18	410	10383
19	424	10195
20	438	10009
21	450	9790
22	465	9657
23	480	9527
24	494	9396
25	508	9264
26	524	9185
27	539	9098
28	554	8999
29	567	8890
30	580	8787
31	593	8686
32	608	8606
33	624	8553
34	636	8459
35	653	8417
36	664	8317
37	678	8252
38	692	8183
39	707	8132
40	722	8090
41	736	8029
42	748	7957
43	761	7894
44	778	7867
45	793	7835
46	808	7793
47	824	7764
48	837	7710
49	852	7676
50	864	7609
51	875	7544
