iter	Passed	Remaining
0	246	246623
1	340	169830
2	432	143683
3	516	128618
4	610	121394
5	705	116875
6	790	112134
7	870	107891
8	940	103525
9	1022	101194
10	1099	98875
11	1195	98444
12	1295	98386
13	1389	97841
14	1474	96829
15	1545	95024
16	1628	94180
17	1700	92797
18	1773	91553
19	1853	90823
20	1935	90244
21	2011	89421
22	2083	88483
23	2157	87731
24	2233	87112
25	2306	86386
26	2376	85624
27	2435	84563
28	2511	84076
29	2577	83329
30	2658	83107
31	2732	82671
32	2821	82690
33	2889	82095
34	2977	82081
35	3062	81993
36	3129	81458
37	3213	81352
38	3291	81114
39	3358	80592
40	3433	80319
41	3520	80301
42	3604	80229
43	3681	79985
44	3737	79318
45	3801	78835
46	3877	78614
47	3944	78225
48	4014	77912
49	4071	77361
50	4146	77157
51	4218	76901
52	4299	76824
53	4360	76387
54	4430	76124
55	4499	75845
56	4564	75514
57	4644	75436
58	4711	75140
59	4771	74750
60	4841	74522
61	4903	74187
62	4977	74024
63	5047	73826
64	5111	73533
65	5171	73182
66	5259	73237
67	5329	73039
68	5410	73003
69	5489	72932
70	5557	72714
71	5629	72554
72	5696	72339
73	5785	72395
74	5852	72186
75	5932	72126
76	6014	72091
77	6075	71810
78	6146	71651
79	6221	71546
80	6290	71372
81	6364	71253
82	6435	71098
83	6500	70883
84	6569	70719885	685	6762	7186	6722	70549
87	6793	70403888	6882	70451
89	6960	70374990	7030	70232991	7112	70194
92	7191	70137
93	7262	70001
94	7323	69765
95	7400	69685
96	7476	69597997	797	7651	7998	798	7735	7099	7704	69338
100	7770	69166
101	101	7954	70102	102	8033	69103	103	8101	69104	104	8188	69105	105	8265	69106	106	8361	69107	107	8437	69108	108	8517	69621
109	8580	69420
110	8664	69394
111	8736	69267
112	8824	69269
113	8895	69137
114	8959	68947
115	9028	68805
116	9101	68689
117	9187	68675
118	9263	68583
119	9342	68512
120	9416	68408
121	9485	68264
122	9559	68160
123	9632	68052
124	9699	67894
125	9763	67726
126	9834	67604
127	9914	67541
128	9984	67417
129	10053	67281
130	10127	67182
131	10219	67201
132	10295	67116
133	10387	67128
